ID	study	group	XPEAK
S1	Lin, 2015	KE LowEC	-0,063446787
S2	Lin, 2015	KF LowEC	-0,13204077
S3	Baumert , 2017	AA	-0,653585894
S4	Chrismas, 2017	blank	-0,302659963
S5	Stultskolehmainen, 2014	blank	-0,237832913
S6	Xu, 2018	blank	-0,433618601
S7	Black, 2016	blank	-0,357364401
S8	Fouré, 2014	blank	-1,281423802
S9	Giandolini, 2015	blank	-0,531384812
S10	Ferguson, 2014	CON	-0,098671838
S11	Baumert , 2017	AG	-1,379923459
S12	EASTHOPE, 2014	blank	-0,504267589
S13	Howatson, 2009	blank	-1,343592962
S14	Joseph, 2014	blank	-0,096171101
S15	Machado, 2016	blank	-0,557434823
S16	McHugh, 2001	blank	-0,380670697
S17	NOTTLE, 2005 A	blank	-1,01250816
S18	Pincheira, 2018	blank	-0,106148978
S19	Petrofsky, 2016	blank	-1,599962243
S20	TSATALAS, 2013	blank	-2,344561095
S21	Hody, 2013	blank	-1,120363809
S22	Jakeman, 2009	blank	-1,844367816
S23	AMINIANFAR, 2011	blank	-1,270548223
S24	Guilhem, 2016	blank	-0,620309245
S25	Jakeman, 2013	blank	-1,998248311
S26	Tsatalas, 2010	blank	-2,224978148
S27	Ascensao, 2008	blank	-0,465265866
S28	MAEO S,, 2016	blank	-1,469121979
S29	Magalhaes, 2009	blank	-2,289140959
S30	Romero-Moraleda, 2017	FR	-0,39986421
S31	Behrens, 2012	blank	-0,828979454
S32	Chen, 2009	blank	-1,255298539
S33	Deli, 2017	blank	-2,220929672
S34	Marcora, 2007	blank	-0,581622098
S35	Nasrabadi, 2018	blank	-3,047362679
S36	Okamoto, 2018	blank	-0,653557474
S37	Larsen, 2015	blank	-0,640320205
S38	Macgregor, 2018	blank	-1,463968536
S39	Maeo, 2015	control	-0,561325174
S40	Maeo, 2015	PRE-1wk	-1,839271403
S41	Maeo, 2015	PRE-4wk	-0,631392311
S42	Torres, 2013	blank	-1,377010542
S43	Arroyo, 2017	Middle-age	-0,902058885
S44	Coratella, 2015	blank	-0,584489804
S45	Dabbs, 2018	blank	-0,430180653
S46	Easthope, 2010	master	-0,790728267
S47	Arroyo, 2017	Young-age	-0,881088549
S48	CHATZINIKOLAOAU A,, 2010	EXPERIMENTAL	0,008671044
S49	CHEN C,, 2015	blank	-1,952806283
S50	Chen, 2007	blank	-7,919046197
S51	Chen, 2017 B	Eccentric resistance training/exercise	-1,47186267
S52	Fonda, 2015	blank	-0,657233538
S53	Huang, 2019 A	experimental	-0,007104956
S54	Maeo, 2017	control : DW 40'	-1,753881855
S55	Maeo, 2017	experimental : DW 5' + DW 40'	-0,442251115
S56	Nikolaidis, 2007	blank	-0,86775201
S57	Paschalis, 2007	blank	-1,123445399
S58	Szczyglowski, 2017	blank	-0,834946579
S59	Tékus, 2017	trained	-0,379484048
S60	Tofari, 2017	blank	-0,370552373
S61	Vassilis, 2008	blank	-1,863907365
S62	Maeo, 2017	Donwhill walking	-0,286977843
S63	Maeo, 2017	Eccentric squat	-0,567183661
S64	Maeo, 2017	Knee extension	-1,016666908
S65	BAUMANN, 2014	blank	-0,385135823
S66	Brown , 2016	SSRS	-0,670026592
S67	Davies, 2018	men	-0,296250244
S68	Doguet, 2016 B	IK	-1,644149294
S69	Doguet, 2016 B	IL	-1,420197575
S70	Keane, 2015	blank	-0,39612231
S71	Millet, 2011	blank	-0,612497996
S72	Nelson, 2004	blank	-0,658726166
S73	Easthope, 2010	young	-0,459873653
S74	Brown , 2016	DPFT	-0,706524322
S75	Apostolopoulos, 2018	blank	-0,378875546
S76	Burt, 2012 B	blank	-0,622848324
S77	Chen, 2011	blank	-1,328048412
S78	Crystal, 2013	blank	-0,191925712
S79	DAVIES R,, 2011	blank	-0,73942915
S80	Gordon, 2017	middle-age	-0,622481487
